Disease	Gene	Differential Expression	PB-ROC	PN-ROC
cancer	SNRPD1	vs bgc: up, vs negatives: up	0.69	0.68
cancer	CCNB2	vs bgc: up, vs negatives: up	0.72	0.75
cancer	LIG1	vs bgc: up, vs negatives: up	0.65	0.65
cancer	CDC20	vs bgc: up, vs negatives: up	0.76	0.74
cancer	UBE2C	vs bgc: up, vs negatives: up	0.75	0.78
cancer	HLTF	vs bgc: up, vs negatives: up	0.7	0.66
cancer	RNASEH2A	vs bgc: up, vs negatives: up	0.73	0.76
cancer	TIMELESS	vs bgc: up, vs negatives: up	0.66	0.68
cancer	SPAG5	vs bgc: up, vs negatives: up	0.69	0.7
cancer	RFC5	vs bgc: up, vs negatives: up	0.72	0.72
cancer	CDK1	vs bgc: up, vs negatives: up	0.8	0.83
cancer	PAFAH1B3	vs bgc: up, vs negatives: up	0.71	0.65
cancer	DTYMK	vs bgc: up, vs negatives: up	0.65	0.69
cancer	LMNB1	vs bgc: up, vs negatives: up	0.71	0.65
cancer	EZH2	vs bgc: up, vs negatives: up	0.76	0.75
cancer	MAD2L1	vs bgc: up, vs negatives: up	0.8	0.77
cancer	CCNA2	vs bgc: up, vs negatives: up	0.79	0.71
cancer	SUCO	vs bgc: up, vs negatives: up	0.66	0.68
cancer	TMPO	vs bgc: up, vs negatives: up	0.7	0.72
cancer	KLF9	vs bgc: down, vs negatives: down	0.65	0.73
cancer	PTTG1	vs bgc: up, vs negatives: up	0.74	0.79
cancer	FANCG	vs bgc: up, vs negatives: up	0.7	0.71
cancer	BYSL	vs bgc: up, vs negatives: up	0.65	0.71
cancer	ZKSCAN5	vs bgc: up, vs negatives: up	0.71	0.65
cancer	HMGB3	vs bgc: up, vs negatives: up	0.72	0.73
cancer	BUB1B	vs bgc: up, vs negatives: up	0.74	0.84
cancer	DLGAP5	vs bgc: up, vs negatives: up	0.79	0.74
cancer	MRPS14	vs bgc: up, vs negatives: up	0.65	0.65
cancer	VRK1	vs bgc: up, vs negatives: up	0.67	0.67
cancer	CDC6	vs bgc: up, vs negatives: up	0.75	0.78
cancer	RFC4	vs bgc: up, vs negatives: up	0.76	0.78
cancer	TRIP13	vs bgc: up, vs negatives: up	0.73	0.79
cancer	PLCB2	vs bgc: down, vs negatives: down	0.65	0.67
cancer	AURKA	vs bgc: up, vs negatives: up	0.71	0.72
cancer	RFC3	vs bgc: up, vs negatives: up	0.72	0.72
cancer	RAD51AP1	vs bgc: up, vs negatives: up	0.76	0.76
cancer	NDC80	vs bgc: up, vs negatives: up	0.73	0.72
cancer	CKS2	vs bgc: up, vs negatives: up	0.75	0.8
cancer	SLC31A2	vs bgc: down, vs negatives: down	0.66	0.72
cancer	ZNF195	vs bgc: up, vs negatives: up	0.71	0.65
cancer	SMC2	vs bgc: up, vs negatives: up	0.73	0.7
cancer	DBF4	vs bgc: up, vs negatives: up	0.67	0.65
cancer	GTSE1	vs bgc: up, vs negatives: up	0.7	0.68
cancer	KIF11	vs bgc: up, vs negatives: up	0.77	0.76
cancer	CDC7	vs bgc: up, vs negatives: up	0.74	0.71
cancer	LSM7	vs bgc: up, vs negatives: up	0.65	0.65
cancer	MMP12	vs bgc: up, vs negatives: up	0.69	0.72
cancer	EXO1	vs bgc: up, vs negatives: up	0.65	0.78
cancer	GABPB1	vs bgc: up, vs negatives: up	0.66	0.7
cancer	NEK2	vs bgc: up, vs negatives: up	0.76	0.81
cancer	TROAP	vs bgc: up, vs negatives: up	0.66	0.76
cancer	DIEXF	vs bgc: up, vs negatives: up	0.67	0.69
cancer	KIF23	vs bgc: up, vs negatives: up	0.71	0.68
cancer	PANX1	vs bgc: up, vs negatives: up	0.68	0.65
cancer	TGFBR3	vs bgc: down, vs negatives: down	0.67	0.67
cancer	FEN1	vs bgc: up, vs negatives: up	0.77	0.72
cancer	TTK	vs bgc: up, vs negatives: up	0.78	0.79
cancer	MELK	vs bgc: up, vs negatives: up	0.76	0.8
cancer	CENPA	vs bgc: up, vs negatives: up	0.76	0.79
cancer	HAGH	vs bgc: down, vs negatives: down	0.66	0.71
cancer	RAD51	vs bgc: up, vs negatives: up	0.65	0.69
cancer	CENPE	vs bgc: up, vs negatives: up	0.68	0.69
cancer	PRIM1	vs bgc: up, vs negatives: up	0.7	0.68
cancer	CDC25C	vs bgc: up, vs negatives: up	0.68	0.74
cancer	CLEC3B	vs bgc: down, vs negatives: down	0.69	0.69
cancer	URB2	vs bgc: up, vs negatives: up	0.67	0.68
cancer	BARD1	vs bgc: up, vs negatives: up	0.65	0.66
cancer	CFD	vs bgc: down, vs negatives: down	0.66	0.68
cancer	FXYD1	vs bgc: down, vs negatives: down	0.7	0.66
cancer	CHEK1	vs bgc: up, vs negatives: up	0.77	0.67
cancer	FOXO4	vs bgc: down, vs negatives: down	0.65	0.75
cancer	TNFSF12	vs bgc: down, vs negatives: down	0.7	0.77
cancer	FLAD1	vs bgc: up, vs negatives: up	0.72	0.65
cancer	GFRA2	vs bgc: down, vs negatives: down	0.67	0.72
cancer	ABLIM3	vs bgc: down, vs negatives: down	0.69	0.67
cancer	BLM	vs bgc: up, vs negatives: up	0.71	0.69
cancer	MMP3	vs bgc: up, vs negatives: up	0.66	0.66
cancer	ZBTB16	vs bgc: down, vs negatives: down	0.65	0.72
cancer	POLE2	vs bgc: up, vs negatives: up	0.72	0.75
cancer	COL10A1	vs bgc: up, vs negatives: up	0.65	0.65
cancer	PDK4	vs bgc: down, vs negatives: down	0.66	0.75
cancer	SLBP	vs bgc: up, vs negatives: up	0.68	0.68
cancer	GINS1	vs bgc: up, vs negatives: up	0.71	0.74
cancer	KNTC1	vs bgc: up, vs negatives: up	0.73	0.67
cancer	DAPK2	vs bgc: down, vs negatives: down	0.66	0.69
cancer	KIF14	vs bgc: up, vs negatives: up	0.79	0.76
cancer	CFP	vs bgc: down, vs negatives: down	0.7	0.67
cancer	CD36	vs bgc: down, vs negatives: down	0.65	0.66
cancer	NUP155	vs bgc: up, vs negatives: up	0.69	0.69
cancer	TAF1A	vs bgc: up, vs negatives: up	0.74	0.65
cancer	APOBEC3B	vs bgc: up, vs negatives: up	0.68	0.74
cancer	HMMR	vs bgc: up, vs negatives: up	0.78	0.84
cancer	CENPI	vs bgc: up, vs negatives: up	0.67	0.66
cancer	PDIA6	vs bgc: up, vs negatives: up	0.66	0.72
cancer	CENPF	vs bgc: up, vs negatives: up	0.78	0.84
cancer	RFX2	vs bgc: down, vs negatives: down	0.65	0.65
cancer	NDEL1	vs bgc: down, vs negatives: down	0.67	0.73
cancer	ANP32E	vs bgc: up, vs negatives: up	0.65	0.67
cancer	BRCA2	vs bgc: up, vs negatives: up	0.68	0.67
cancer	PGM5	vs bgc: down, vs negatives: down	0.69	0.68
cancer	RPN2	vs bgc: up, vs negatives: up	0.67	0.78
cancer	ATIC	vs bgc: up, vs negatives: up	0.66	0.68
cancer	HNRNPR	vs bgc: up, vs negatives: up	0.67	0.65
cancer	MCM7	vs bgc: up, vs negatives: up	0.72	0.69
cancer	PSMA6	vs bgc: up, vs negatives: up	0.67	0.68
cancer	HMGB2	vs bgc: up, vs negatives: up	0.66	0.66
cancer	SNRPB	vs bgc: up, vs negatives: up	0.69	0.71
cancer	GABARAPL1	vs bgc: down, vs negatives: down	0.7	0.77
cancer	ILF3	vs bgc: up, vs negatives: up	0.67	0.66
cancer	SEPHS1	vs bgc: up, vs negatives: up	0.68	0.67
cancer	PINK1	vs bgc: down, vs negatives: down	0.69	0.73
cancer	SYNCRIP	vs bgc: up, vs negatives: up	0.65	0.72
cancer	MDK	vs bgc: up, vs negatives: up	0.66	0.75
cancer	WHSC1	vs bgc: up, vs negatives: up	0.65	0.74
cancer	KIF2C	vs bgc: up, vs negatives: up	0.75	0.79
cancer	MSH2	vs bgc: up, vs negatives: up	0.73	0.72
cancer	PATZ1	vs bgc: up, vs negatives: up	0.65	0.66
cancer	PPAT	vs bgc: up, vs negatives: up	0.73	0.68
cancer	AURKB	vs bgc: up, vs negatives: up	0.71	0.67
cancer	BUB1	vs bgc: up, vs negatives: up	0.69	0.68
cancer	CDKN3	vs bgc: up, vs negatives: up	0.8	0.77
cancer	UTP20	vs bgc: up, vs negatives: up	0.69	0.76
cancer	UCK2	vs bgc: up, vs negatives: up	0.7	0.7
cancer	CDT1	vs bgc: up, vs negatives: up	0.74	0.69
cancer	SPC25	vs bgc: up, vs negatives: up	0.76	0.77
cancer	PUF60	vs bgc: up, vs negatives: up	0.67	0.65
cancer	APEX1	vs bgc: up, vs negatives: up	0.65	0.72
cancer	TPX2	vs bgc: up, vs negatives: up	0.76	0.82
cancer	RDH5	vs bgc: down, vs negatives: down	0.65	0.67
cancer	CHEK2	vs bgc: up, vs negatives: up	0.65	0.75
cancer	SGCA	vs bgc: down, vs negatives: down	0.66	0.65
cancer	MKI67	vs bgc: up, vs negatives: up	0.74	0.83
cancer	MCM4	vs bgc: up, vs negatives: up	0.73	0.72
cancer	SCRIB	vs bgc: up, vs negatives: up	0.65	0.66
cancer	CRY2	vs bgc: down, vs negatives: down	0.72	0.7
cancer	PAXIP1	vs bgc: up, vs negatives: up	0.71	0.67
cancer	CCDC69	vs bgc: down, vs negatives: down	0.67	0.65
cancer	CBX7	vs bgc: down, vs negatives: down	0.7	0.82
cancer	RPP40	vs bgc: up, vs negatives: up	0.67	0.72
cancer	CCNE1	vs bgc: up, vs negatives: up	0.67	0.65
cancer	OIP5	vs bgc: up, vs negatives: up	0.75	0.76
cancer	ACACB	vs bgc: down, vs negatives: down	0.7	0.67
cancer	CCNB1	vs bgc: up, vs negatives: up	0.79	0.84
cancer	NAAA	vs bgc: down, vs negatives: down	0.71	0.67
cancer	LMNB2	vs bgc: up, vs negatives: up	0.66	0.65
cancer	GNL3	vs bgc: up, vs negatives: up	0.67	0.72
cancer	MIF	vs bgc: up, vs negatives: up	0.68	0.67
cancer	TOLLIP	vs bgc: down, vs negatives: down	0.65	0.72
cancer	PRC1	vs bgc: up, vs negatives: up	0.78	0.77
cancer	NUP85	vs bgc: up, vs negatives: up	0.71	0.67
cancer	NUSAP1	vs bgc: up, vs negatives: up	0.79	0.82
cancer	ASF1B	vs bgc: up, vs negatives: up	0.69	0.7
cancer	CKAP2	vs bgc: up, vs negatives: up	0.73	0.68
cancer	C14orf159	vs bgc: down, vs negatives: down	0.65	0.75
cancer	ZWILCH	vs bgc: up, vs negatives: up	0.72	0.71
cancer	GMNN	vs bgc: up, vs negatives: up	0.69	0.74
cancer	KIF4A	vs bgc: up, vs negatives: up	0.77	0.82
cancer	CDCA4	vs bgc: up, vs negatives: up	0.68	0.68
cancer	EXOSC5	vs bgc: up, vs negatives: up	0.65	0.65
cancer	HILPDA	vs bgc: up, vs negatives: up	0.65	0.66
cancer	WDR12	vs bgc: up, vs negatives: up	0.68	0.7
cancer	SMG8	vs bgc: up, vs negatives: up	0.68	0.67
cancer	CEP55	vs bgc: up, vs negatives: up	0.8	0.76
cancer	LYRM4	vs bgc: up, vs negatives: up	0.66	0.69
cancer	DTL	vs bgc: up, vs negatives: up	0.77	0.8
cancer	RBM28	vs bgc: up, vs negatives: up	0.75	0.7
cancer	NCAPG	vs bgc: up, vs negatives: up	0.77	0.75
cancer	GINS3	vs bgc: up, vs negatives: up	0.7	0.65
cancer	HJURP	vs bgc: up, vs negatives: up	0.72	0.78
cancer	NAA40	vs bgc: up, vs negatives: up	0.68	0.67
cancer	CENPM	vs bgc: up, vs negatives: up	0.67	0.79
cancer	KIF20A	vs bgc: up, vs negatives: up	0.76	0.8
cancer	UPF3B	vs bgc: up, vs negatives: up	0.68	0.65
cancer	NUP107	vs bgc: up, vs negatives: up	0.69	0.72
cancer	ATAD2	vs bgc: up, vs negatives: up	0.74	0.71
cancer	SMYD3	vs bgc: up, vs negatives: up	0.67	0.69
cancer	TNS1	vs bgc: down, vs negatives: down	0.65	0.68
cancer	TPPP3	vs bgc: down, vs negatives: down	0.68	0.67
cancer	WDR3	vs bgc: up, vs negatives: up	0.65	0.73
cancer	RMI1	vs bgc: up, vs negatives: up	0.67	0.65
cancer	PUS7	vs bgc: up, vs negatives: up	0.69	0.71
cancer	MIS18A	vs bgc: up, vs negatives: up	0.67	0.74
cancer	CTPS2	vs bgc: up, vs negatives: up	0.66	0.65
cancer	PBK	vs bgc: up, vs negatives: up	0.76	0.82
cancer	HSPA14	vs bgc: up, vs negatives: up	0.66	0.67
cancer	THUMPD2	vs bgc: up, vs negatives: up	0.67	0.66
cancer	TIPIN	vs bgc: up, vs negatives: up	0.7	0.69
cancer	KIF15	vs bgc: up, vs negatives: up	0.77	0.76
cancer	NEIL3	vs bgc: up, vs negatives: up	0.73	0.76
cancer	PALB2	vs bgc: up, vs negatives: up	0.65	0.66
cancer	BORA	vs bgc: up, vs negatives: up	0.69	0.67
cancer	ALG6	vs bgc: up, vs negatives: up	0.66	0.67
cancer	ASPM	vs bgc: up, vs negatives: up	0.78	0.81
cancer	E2F8	vs bgc: up, vs negatives: up	0.69	0.7
cancer	PARPBP	vs bgc: up, vs negatives: up	0.7	0.67
cancer	DEPDC1	vs bgc: up, vs negatives: up	0.7	0.74
cancer	FAM212B	vs bgc: down, vs negatives: down	0.65	0.65
cancer	ITFG2	vs bgc: down, vs negatives: down	0.65	0.68
cancer	MCM10	vs bgc: up, vs negatives: up	0.74	0.75
cancer	DNMT3B	vs bgc: up, vs negatives: up	0.67	0.73
cancer	KIF18A	vs bgc: up, vs negatives: up	0.71	0.73
cancer	CDCA3	vs bgc: up, vs negatives: up	0.71	0.8
cancer	GINS2	vs bgc: up, vs negatives: up	0.67	0.76
cancer	FAM64A	vs bgc: up, vs negatives: up	0.69	0.76
cancer	DONSON	vs bgc: up, vs negatives: up	0.74	0.75
cancer	BRIP1	vs bgc: up, vs negatives: up	0.69	0.67
cancer	RACGAP1	vs bgc: up, vs negatives: up	0.75	0.73
colorectal cancer	RFC2	vs bgc: up, vs negatives: down	0.68	0.78
colorectal cancer	PAX8	vs bgc: down, vs negatives: down	0.8	0.65
colorectal cancer	EPHB3	vs bgc: up, vs negatives: up	0.9	0.86
colorectal cancer	RPL11	vs bgc: up, vs negatives: down	0.66	0.66
colorectal cancer	TARDBP	vs bgc: up, vs negatives: up	0.75	0.72
colorectal cancer	STARD7	vs bgc: up, vs negatives: up	0.76	0.74
colorectal cancer	RPL19	vs bgc: up, vs negatives: down	0.67	0.65
colorectal cancer	CBX3	vs bgc: up, vs negatives: up	0.8	0.82
colorectal cancer	SRSF9	vs bgc: up, vs negatives: down	0.7	0.67
colorectal cancer	NONO	vs bgc: up, vs negatives: down	0.69	0.71
colorectal cancer	RPL30	vs bgc: up, vs negatives: up	0.69	0.88
colorectal cancer	RPL14	vs bgc: up, vs negatives: up	0.71	0.72
colorectal cancer	KARS	vs bgc: up, vs negatives: up	0.72	0.93
colorectal cancer	TMED2	vs bgc: up, vs negatives: down	0.7	0.66
colorectal cancer	RPL12	vs bgc: up, vs negatives: up	0.69	0.9
colorectal cancer	EEF2	vs bgc: up, vs negatives: down	0.66	0.68
colorectal cancer	MSN	vs bgc: down, vs negatives: down	0.77	0.73
colorectal cancer	WDR1	vs bgc: down, vs negatives: down	0.7	0.65
colorectal cancer	MLEC	vs bgc: up, vs negatives: up	0.83	0.94
colorectal cancer	TMEM59	vs bgc: down, vs negatives: up	0.69	0.74
colorectal cancer	UBB	vs bgc: down, vs negatives: down	0.68	0.68
colorectal cancer	MARCKSL1	vs bgc: up, vs negatives: up	0.69	0.83
colorectal cancer	NUCB1	vs bgc: down, vs negatives: down	0.76	0.72
colorectal cancer	CTSA	vs bgc: up, vs negatives: down	0.66	0.73
colorectal cancer	CD63	vs bgc: up, vs negatives: down	0.68	0.74
colorectal cancer	PTTG1IP	vs bgc: up, vs negatives: down	0.76	0.77
colorectal cancer	DYNLL1	vs bgc: up, vs negatives: down	0.75	0.77
colorectal cancer	EEF1B2	vs bgc: up, vs negatives: up	0.77	0.89
colorectal cancer	GOT2	vs bgc: up, vs negatives: up	0.71	0.81
colorectal cancer	ACTR1A	vs bgc: down, vs negatives: down	0.85	0.69
colorectal cancer	PTP4A1	vs bgc: up, vs negatives: down	0.76	0.73
colorectal cancer	CALU	vs bgc: up, vs negatives: down	0.68	0.66
colorectal cancer	RPS15A	vs bgc: down, vs negatives: up	0.71	0.67
colorectal cancer	LRP1	vs bgc: down, vs negatives: down	0.71	0.78
colorectal cancer	ODC1	vs bgc: up, vs negatives: up	0.7	0.88
colorectal cancer	PAFAH1B1	vs bgc: down, vs negatives: down	0.87	0.67
colorectal cancer	SCD	vs bgc: up, vs negatives: down	0.67	0.67
colorectal cancer	RPS21	vs bgc: up, vs negatives: up	0.69	0.75
colorectal cancer	PRDX6	vs bgc: up, vs negatives: down	0.85	0.67
colorectal cancer	DHCR24	vs bgc: up, vs negatives: down	0.72	0.71
colorectal cancer	PSAP	vs bgc: down, vs negatives: down	0.75	0.7
colorectal cancer	RNF114	vs bgc: up, vs negatives: up	0.65	0.79
colorectal cancer	DNAJA1	vs bgc: up, vs negatives: up	0.67	0.77
colorectal cancer	AHCY	vs bgc: up, vs negatives: up	0.71	0.93
colorectal cancer	RPLP2	vs bgc: down, vs negatives: up	0.76	0.67
colorectal cancer	SLC3A2	vs bgc: up, vs negatives: down	0.72	0.7
colorectal cancer	DCTN2	vs bgc: down, vs negatives: down	0.7	0.81
colorectal cancer	RERE	vs bgc: down, vs negatives: down	0.67	0.84
colorectal cancer	ARPC1A	vs bgc: up, vs negatives: down	0.8	0.75
colorectal cancer	UBA1	vs bgc: down, vs negatives: down	0.67	0.69
colorectal cancer	RNPEP	vs bgc: up, vs negatives: down	0.73	0.75
colorectal cancer	SSR4	vs bgc: up, vs negatives: up	0.66	0.83
colorectal cancer	PAICS	vs bgc: up, vs negatives: up	0.65	0.83
colorectal cancer	EIF1AX	vs bgc: up, vs negatives: up	0.79	0.91
colorectal cancer	EIF5B	vs bgc: up, vs negatives: up	0.74	0.69
colorectal cancer	RPLP0	vs bgc: up, vs negatives: up	0.71	0.92
colorectal cancer	HADH	vs bgc: up, vs negatives: up	0.65	0.8
colorectal cancer	SYNGR2	vs bgc: up, vs negatives: up	0.75	0.82
colorectal cancer	PIP4K2B	vs bgc: down, vs negatives: down	0.67	0.86
colorectal cancer	DCTN1	vs bgc: down, vs negatives: down	0.75	0.77
colorectal cancer	RBBP7	vs bgc: up, vs negatives: up	0.7	0.87
colorectal cancer	CSE1L	vs bgc: up, vs negatives: up	0.74	0.9
colorectal cancer	COX8A	vs bgc: up, vs negatives: down	0.75	0.68
colorectal cancer	CDH1	vs bgc: up, vs negatives: up	0.66	0.87
colorectal cancer	HAX1	vs bgc: up, vs negatives: down	0.7	0.67
colorectal cancer	MFN2	vs bgc: down, vs negatives: down	0.78	0.81
colorectal cancer	PUM1	vs bgc: up, vs negatives: up	0.68	0.78
colorectal cancer	ARHGDIA	vs bgc: down, vs negatives: down	0.65	0.68
colorectal cancer	ARCN1	vs bgc: up, vs negatives: down	0.68	0.78
colorectal cancer	AMD1	vs bgc: up, vs negatives: up	0.66	0.75
colorectal cancer	CREG1	vs bgc: up, vs negatives: up	0.7	0.81
colorectal cancer	CTBP2	vs bgc: up, vs negatives: up	0.76	0.89
colorectal cancer	TARS	vs bgc: up, vs negatives: down	0.65	0.91
colorectal cancer	TXNRD1	vs bgc: down, vs negatives: down	0.65	0.69
colorectal cancer	AKR1B1	vs bgc: down, vs negatives: down	0.76	0.78
colorectal cancer	PSMA5	vs bgc: up, vs negatives: up	0.65	0.9
colorectal cancer	SEC11A	vs bgc: up, vs negatives: down	0.65	0.76
colorectal cancer	TOP2A	vs bgc: up, vs negatives: up	0.66	0.82
colorectal cancer	PSMA2	vs bgc: up, vs negatives: up	0.67	0.76
colorectal cancer	ETS2	vs bgc: up, vs negatives: up	0.85	0.77
colorectal cancer	ENC1	vs bgc: up, vs negatives: up	0.87	0.85
colorectal cancer	HNRNPF	vs bgc: up, vs negatives: down	0.69	0.8
colorectal cancer	CRTAP	vs bgc: up, vs negatives: down	0.71	0.66
colorectal cancer	UCHL1	vs bgc: down, vs negatives: down	0.73	0.74
colorectal cancer	PPP1CB	vs bgc: up, vs negatives: down	0.66	0.75
colorectal cancer	HSD17B4	vs bgc: down, vs negatives: up	0.75	0.71
colorectal cancer	SOX4	vs bgc: up, vs negatives: up	0.81	0.76
colorectal cancer	BAP1	vs bgc: down, vs negatives: down	0.79	0.74
colorectal cancer	WDR77	vs bgc: up, vs negatives: up	0.65	0.88
colorectal cancer	VIM	vs bgc: down, vs negatives: down	0.67	0.82
colorectal cancer	PTDSS1	vs bgc: up, vs negatives: up	0.75	0.78
colorectal cancer	COL6A3	vs bgc: up, vs negatives: up	0.83	0.77
colorectal cancer	GBF1	vs bgc: down, vs negatives: down	0.77	0.73
colorectal cancer	MAPKAPK2	vs bgc: down, vs negatives: down	0.73	0.73
colorectal cancer	JUN	vs bgc: up, vs negatives: up	0.83	0.75
colorectal cancer	DKC1	vs bgc: up, vs negatives: up	0.74	0.91
colorectal cancer	TGFBI	vs bgc: up, vs negatives: up	0.8	0.88
colorectal cancer	TOMM70A	vs bgc: up, vs negatives: up	0.76	0.86
colorectal cancer	CBX1	vs bgc: up, vs negatives: down	0.69	0.69
colorectal cancer	PSMA3	vs bgc: down, vs negatives: up	0.66	0.67
colorectal cancer	DUSP3	vs bgc: down, vs negatives: down	0.8	0.72
colorectal cancer	FHL1	vs bgc: down, vs negatives: down	0.74	0.74
colorectal cancer	VAMP2	vs bgc: down, vs negatives: down	0.82	0.88
colorectal cancer	SORD	vs bgc: up, vs negatives: up	0.87	0.75
colorectal cancer	PODXL	vs bgc: up, vs negatives: up	0.76	0.73
colorectal cancer	FAT1	vs bgc: up, vs negatives: up	0.79	0.92
colorectal cancer	SEC23B	vs bgc: up, vs negatives: up	0.65	0.84
colorectal cancer	DDX39A	vs bgc: up, vs negatives: up	0.66	0.85
colorectal cancer	TXNL1	vs bgc: down, vs negatives: up	0.68	0.73
colorectal cancer	ZC3H15	vs bgc: up, vs negatives: up	0.76	0.67
colorectal cancer	IFITM1	vs bgc: up, vs negatives: up	0.87	0.77
colorectal cancer	ALDH9A1	vs bgc: up, vs negatives: up	0.69	0.67
colorectal cancer	AP1G2	vs bgc: up, vs negatives: up	0.65	0.77
colorectal cancer	RUVBL1	vs bgc: up, vs negatives: down	0.65	0.83
colorectal cancer	PRDX3	vs bgc: up, vs negatives: up	0.65	0.86
colorectal cancer	FXR1	vs bgc: down, vs negatives: down	0.73	0.77
colorectal cancer	CLPTM1	vs bgc: down, vs negatives: down	0.87	0.7
colorectal cancer	TSTA3	vs bgc: up, vs negatives: up	0.76	0.92
colorectal cancer	PACSIN2	vs bgc: down, vs negatives: down	0.74	0.67
colorectal cancer	ITGA6	vs bgc: up, vs negatives: up	0.81	0.94
colorectal cancer	ARL1	vs bgc: up, vs negatives: up	0.67	0.85
colorectal cancer	PSMA1	vs bgc: up, vs negatives: up	0.65	0.92
colorectal cancer	PMPCB	vs bgc: down, vs negatives: up	0.72	0.66
colorectal cancer	TPD52	vs bgc: up, vs negatives: up	0.66	0.9
colorectal cancer	PSMD7	vs bgc: down, vs negatives: up	0.73	0.75
colorectal cancer	RANBP2	vs bgc: up, vs negatives: up	0.79	0.67
colorectal cancer	TUBG1	vs bgc: up, vs negatives: down	0.68	0.79
colorectal cancer	EPB41L2	vs bgc: up, vs negatives: up	0.73	0.86
colorectal cancer	JOSD1	vs bgc: up, vs negatives: down	0.74	0.7
colorectal cancer	NDUFS5	vs bgc: up, vs negatives: up	0.67	0.78
colorectal cancer	WSB2	vs bgc: up, vs negatives: down	0.66	0.73
colorectal cancer	ELAC2	vs bgc: down, vs negatives: down	0.74	0.72
colorectal cancer	CLINT1	vs bgc: down, vs negatives: down	0.65	0.65
colorectal cancer	ADNP	vs bgc: up, vs negatives: up	0.66	0.82
colorectal cancer	AIP	vs bgc: down, vs negatives: down	0.71	0.65
colorectal cancer	DDX42	vs bgc: down, vs negatives: down	0.67	0.78
colorectal cancer	LBR	vs bgc: up, vs negatives: up	0.82	0.91
colorectal cancer	GBAS	vs bgc: up, vs negatives: up	0.66	0.85
colorectal cancer	NR3C1	vs bgc: down, vs negatives: down	0.89	0.72
colorectal cancer	TBL1X	vs bgc: down, vs negatives: down	0.71	0.77
